62.44,59.10,1.630806,1.494561,1.000000e-03,1
75.11,60.92,0.886414,1.444601,1.000000e-03,1
79.81,61.63,0.706949,1.453706,1.000000e-03,1
82.79,61.79,0.599089,1.481422,1.000000e-03,1
85.02,61.91,0.521973,1.516425,1.000000e-03,1
86.76,61.91,0.461036,1.546741,1.000000e-03,1
88.33,61.91,0.410107,1.584735,1.000000e-03,1
89.73,61.76,0.366892,1.628038,1.000000e-03,1
91.70,63.12,0.314170,1.486831,3.000000e-04,2
92.49,63.03,0.292231,1.481196,3.000000e-04,2
92.79,63.41,0.283718,1.461463,1.500000e-04,2
93.18,63.33,0.273995,1.477189,1.500000e-04,2
93.31,63.32,0.270004,1.463694,7.500000e-05,2
93.37,63.56,0.268161,1.461700,3.750000e-05,2
93.50,63.46,0.265388,1.461637,3.750000e-05,2
93.52,63.56,0.264436,1.456756,1.875000e-05,2
93.61,63.60,0.262682,1.455075,9.375000e-06,2
93.63,63.65,0.261810,1.456311,4.687500e-06,2
93.66,63.61,0.261276,1.456665,2.343750e-06,2
93.68,63.64,0.261172,1.456437,1.171875e-06,2
93.68,63.62,0.261112,1.456221,5.859375e-07,2
93.68,63.63,0.261088,1.456181,2.929688e-07,2
93.68,63.64,0.261075,1.456285,1.464844e-07,2
93.68,63.65,0.261068,1.456336,7.324219e-08,2
93.68,63.65,0.261054,1.456311,3.662110e-08,2
